 ,Voxels,Volume(mm^3),%Volume,Mean,StdDev,Min,Max,Mode,Median
595,21952,175616,100,453.755,369.116,17,1899,178.734,248
596,21952,175616,100,592.428,459.778,0,1745,1056.543,540
597,21952,175616,100,384.649,383.602,0,1832,21.469,231
598,21952,175616,100,660.611,370.408,0,1836,372.938,479
599,21952,175616,100,784.434,445.350,0,2194,1079.859,968
600,21952,175616,100,680.320,465.195,0,1983,23.238,937
601,21952,175616,100,815.642,406.919,0,1365,1114.395,1004
602,21952,175616,100,723.979,457.809,10,1680,1171.172,971
603,21952,175616,100,840.727,433.882,0,1508,1107.438,1108
604,21952,175616,100,853.081,409.162,0,1984,1139.250,1042
605,21952,175616,100,723.278,408.894,0,1522,23.781,929
606,21952,175616,100,832.181,393.294,54,2006,1060.500,1012
607,21952,175616,100,782.614,410.743,0,1852,21.703,967
608,21952,175616,100,694.669,466.737,0,1668,19.547,964
609,21952,175616,100,1018.480,295.904,66,2432,1073.398,1071
610,21952,175616,100,1052.528,99.227,11,1342,1097.637,1092
611,21952,175616,100,1000.522,91.235,77,1482,916.707,985
612,21952,175616,100,1022.365,268.852,69,2482,1134.113,1068
613,21952,175616,100,1046.496,300.935,59,2545,1136.914,1091
614,21952,175616,100,1027.577,260.904,83,2395,1076.438,1068
615,21952,175616,100,32959.864,127.118,32770,33734,32965.812,32958
616,21952,175616,100,33812.984,301.177,32730,35832,33687.258,33761
617,21952,175616,100,33729.648,280.305,32674,35171,33668.898,33698
618,21952,175616,100,33305.353,319.417,32749,34356,32818.051,33378
619,21952,175616,100,33529.328,361.747,32707,34736,32817.961,33573
620,21952,175616,100,33419.321,477.480,32714,34895,32807.715,33497
621,21952,175616,100,33536.248,371.874,32735,35041,32825.078,33557
622,21952,175616,100,808.387,412.342,0,1842,1129.664,1025
623,21952,175616,100,744.813,433.823,0,2195,25.723,958
624,21952,175616,100,570.371,492.085,0,3432,93.844,285
625,21952,175616,100,506.203,434.605,3,1815,123.328,211
626,21952,175616,100,700.059,449.680,35,1645,1078.984,964
627,21952,175616,100,518.338,429.353,5,1872,150.859,253
628,21952,175616,100,413.418,406.822,1,2525,129.172,182
629,21952,175616,100,914.693,309.922,173,1632,913.898,1009
630,21952,175616,100,953.694,252.706,35,2148,1091.500,1031
631,21952,175616,100,971.057,276.894,155,1496,1092.652,1086
632,21952,175616,100,33033.598,220.800,32745,33564,32776.992,33068
633,21952,175616,100,33621.414,665.027,32707,36908,32821.871,33628
634,21952,175616,100,33103.470,236.711,32764,33910,32790.859,33117
635,21952,175616,100,33146.242,206.213,32764,34051,32784.109,33172
636,21952,175616,100,33154.466,221.934,32777,34300,32782.949,33167
637,21952,175616,100,33159.957,189.655,32771,34119,33223.844,33182
638,21952,175616,100,33135.272,220.737,32769,34066,32784.199,33162
639,21952,175616,100,33135.235,214.085,32767,34113,32788.031,33160
640,21952,175616,100,33119.845,239.856,32765,34232,32793.652,33149
641,21952,175616,100,987.460,275.031,28,2146,1078.727,1049
642,21952,175616,100,1014.649,237.375,122,2252,1062.195,1030
643,21952,175616,100,749.589,397.449,0,1691,1076.691,949
644,21952,175616,100,751.773,424.588,0,2221,1136.527,911
645,21952,175616,100,33138.876,294.252,32751,34250,32780.277,33128
646,21952,175616,100,32813.712,31.387,32768,32949,32772.949,32816
647,21952,175616,100,32820.856,26.355,32769,32939,32813.492,32817
648,21952,175616,100,32809.570,36.835,32768,32943,32771.418,32810
649,21952,175616,100,32811.132,28.868,32769,32931,32773.430,32814
650,21952,175616,100,33809.732,464.919,32011,35970,33820.387,33835
651,21952,175616,100,34015.941,654.971,32621,36453,32800.625,34005
